day,date,time_ist,slot,format,pillar,title,hook,cta,hashtags,festival,stories,launch_post,status
"86","2026-12-25","20:00","3","Carousel","Founder journey","Meet the team — take 2","The people behind every box.","Ask the founder anything","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"87","2026-12-26","08:30","1","Reel","Packaging","Unboxing POV — take 2","POV: this just arrived at your desk.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","Founder takeover: 3–5 frames, face to camera","","planned"
"87","2026-12-26","13:00","2","Reel","Sweet-making process","Winter menu: warm kunda and more","Winter was made for warm kunda.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"87","2026-12-26","20:00","3","Carousel","Wedding gifting","Destination-wedding hamper packing — take 2","How we ship hampers to a destination wedding.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","","","planned"
"88","2026-12-27","08:30","1","Reel","Sweet-making process","Peda: myth vs fact (as reel)","Peda: 4 things people get wrong.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Family & festive moments; weekend order cut-off reminder","","planned"
"88","2026-12-27","13:00","2","Reel","Customer testimonials & reactions","Client reaction video (with consent) — take 2","We asked [client] what their team said.","Tag someone · share your unboxing","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"88","2026-12-27","20:00","3","Carousel","Packaging","Box colour stories: maroon, ivory, gold — take 2","Three colours, three moods.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"89","2026-12-28","08:30","1","Reel","Sweet-making process","Kunda: how to serve it (as reel)","3 ways to serve Kunda like a host.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Poll: “Which sweet are you?” + link sticker to /sweets","","planned"
"89","2026-12-28","13:00","2","Reel","Founder journey","Founder Q&A from comments — take 2","You asked. I answered.","Ask the founder anything","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"89","2026-12-28","20:00","3","Carousel","Sweet-making process","Kunda: ingredient story","What actually goes into Kunda.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"90","2026-12-29","08:30","1","Reel","Wedding gifting","Tasting session with two families — take 2","The happiest hour of wedding planning.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","Behind the scenes: kitchen clips, halwai at work","","planned"
"90","2026-12-29","13:00","2","Reel","Packaging","Writing the message cards — take 2","Every card, written like it matters.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"90","2026-12-29","20:00","3","Carousel","Sweet-making process","Kunda: myth vs fact","Kunda: 4 things people get wrong.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
